HGGGGGGGGGGJ
K          I
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
K          I
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F**********F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
F          F
C          C
AAAAAAAAAAAA
